todo {
{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1},
{1,4,4,2,4,2,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,4,1},
{1,4,4,2,4,2,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,4,1},
{1,4,4,2,4,2,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,4,1},
{1,4,4,2,4,2,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,4,1},
{1,4,4,2,4,2,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,4,1},
{1,4,4,2,4,2,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,4,1},
{1,4,4,2,4,2,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,4,1},
{1,4,4,10,4,10,3,10,3,3,2,3,3,10,3,10,3,10,4,4,4,4,4,4,1},
{1,4,2,2,2,2,2,2,2,2,10,2,2,2,2,2,2,2,2,4,4,4,4,4,1},
{1,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1},
{1,4,2,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,2,2,4,1},
{1,4,2,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,2,2,4,1},
{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1}}
